profile_name,system_name,run_number,player_died,survival_time,score,health_remaining,hits_taken,deaths,final_difficulty,profile_speed,profile_reaction_time,profile_dodge_chance,profile_mistake_chance,profile_detection_radius,profile_dodge_duration,profile_strafe_weight,profile_retreat_weight,profile
skilled,static,6,False,60.0,601,6.5,11,0,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
skilled,static,7,False,60.0,600,40.5,7,0,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
skilled,static,8,False,60.0,600,6.5,11,0,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
skilled,static,9,False,60.0,600,6.5,11,0,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
skilled,static,10,False,60.0,600,6.5,11,0,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
skilled,static,11,False,60.0,600,23.5,9,0,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
skilled,static,12,False,60.0,600,32.0,8,0,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
skilled,static,13,True,47.5,475,0.0,12,1,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
skilled,static,14,False,60.0,600,49.0,6,0,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
skilled,static,15,True,57.5,575,0.0,12,1,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
skilled,static,16,False,60.0,600,66.0,4,0,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
skilled,static,17,False,60.0,600,15.0,10,0,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
skilled,static,18,False,60.0,600,6.5,11,0,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
skilled,static,19,False,60.0,600,57.5,5,0,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
skilled,static,20,False,60.0,600,6.5,11,0,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
skilled,static,21,False,60.0,600,40.5,7,0,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
skilled,static,22,False,60.0,600,49.0,6,0,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
skilled,static,23,False,60.0,600,40.5,7,0,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
skilled,static,24,False,60.0,600,32.0,8,0,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
skilled,static,25,False,60.0,600,66.0,4,0,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
skilled,static,26,True,58.5,585,0.0,12,1,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
skilled,static,27,False,60.0,600,49.0,6,0,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
skilled,static,28,False,60.0,600,32.0,8,0,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
skilled,static,29,True,52.25,522,0.0,12,1,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
skilled,static,30,False,60.0,600,57.5,5,0,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
inconsistent,static,1,False,60.0,600,40.5,7,0,5,163.99,0.37,0.35,0.38,158.05,0.75,0.65,0.25,inconsistent
inconsistent,static,2,True,59.58,595,0.0,12,1,5,187.45,0.53,0.73,0.25,231.27,0.69,0.77,0.2,inconsistent
inconsistent,static,3,True,56.08,560,0.0,12,1,5,173.21,0.52,0.42,0.22,179.35,0.74,0.79,0.32,inconsistent
inconsistent,static,4,True,52.92,529,0.0,12,1,5,189.35,0.56,0.8,0.24,183.19,0.88,0.68,0.23,inconsistent
inconsistent,static,5,True,59.58,595,0.0,12,1,5,168.1,0.28,0.6,0.28,148.77,0.94,0.63,0.43,inconsistent
inconsistent,static,6,True,48.0,480,0.0,12,1,5,156.29,0.34,0.57,0.08,197.6,0.88,0.64,0.37,inconsistent
inconsistent,static,7,True,55.33,553,0.0,12,1,5,186.09,0.38,0.5,0.23,182.7,0.92,0.75,0.37,inconsistent
inconsistent,static,8,False,60.0,600,15.0,10,0,5,142.69,0.26,0.5,0.36,148.38,0.7,0.81,0.35,inconsistent
inconsistent,static,9,False,60.0,600,15.0,10,0,5,142.12,0.39,0.5,0.1,174.35,0.87,0.69,0.36,inconsistent
inconsistent,static,10,False,60.0,600,15.0,10,0,5,191.82,0.44,0.39,0.21,232.47,0.75,0.81,0.23,inconsistent
inconsistent,static,11,False,60.0,600,6.5,11,0,5,187.04,0.42,0.83,0.39,146.79,0.74,0.8,0.21,inconsistent
inconsistent,static,12,False,60.0,600,57.5,5,0,5,138.19,0.51,0.67,0.08,175.62,0.9,0.84,0.32,inconsistent
inconsistent,static,13,True,50.17,501,0.0,12,1,5,192.34,0.62,0.7,0.31,146.08,0.74,0.65,0.33,inconsistent
inconsistent,static,14,True,42.83,428,0.0,12,1,5,172.01,0.35,0.67,0.37,153.98,0.65,0.83,0.2,inconsistent
inconsistent,static,15,True,55.75,557,0.0,12,1,5,165.39,0.54,0.48,0.32,194.93,0.65,0.77,0.27,inconsistent
inconsistent,static,16,False,60.0,600,32.0,8,0,5,136.22,0.33,0.59,0.12,218.62,0.64,0.75,0.37,inconsistent
inconsistent,static,17,False,60.0,600,32.0,8,0,5,138.54,0.24,0.42,0.14,229.03,0.82,0.75,0.22,inconsistent
inconsistent,static,18,True,44.0,440,0.0,12,1,5,180.4,0.62,0.77,0.39,231.54,0.68,0.79,0.35,inconsistent
inconsistent,static,19,False,60.0,600,15.0,10,0,5,179.47,0.48,0.78,0.25,178.07,0.86,0.77,0.28,inconsistent
inconsistent,static,20,False,60.0,600,32.0,8,0,5,152.23,0.37,0.55,0.22,255.91,0.88,0.64,0.38,inconsistent
inconsistent,static,21,False,60.0,600,6.5,11,0,5,187.22,0.3,0.63,0.4,251.97,0.84,0.72,0.36,inconsistent
inconsistent,static,22,False,60.0,600,40.5,7,0,5,159.87,0.62,0.73,0.16,157.06,0.68,0.65,0.45,inconsistent
inconsistent,static,23,False,60.0,600,32.0,8,0,5,141.6,0.36,0.54,0.14,257.37,0.73,0.79,0.36,inconsistent
inconsistent,static,24,True,51.25,512,0.0,12,1,5,174.42,0.65,0.82,0.19,164.53,0.86,0.83,0.34,inconsistent
inconsistent,static,25,False,60.0,600,49.0,6,0,5,169.49,0.57,0.84,0.32,219.07,0.8,0.84,0.44,inconsistent
inconsistent,static,26,True,49.08,490,0.0,12,1,5,148.54,0.53,0.4,0.24,170.53,0.83,0.69,0.43,inconsistent
inconsistent,static,27,False,60.0,600,57.5,5,0,5,188.65,0.48,0.72,0.17,222.87,0.84,0.76,0.25,inconsistent
inconsistent,static,28,False,60.0,600,40.5,7,0,5,194.66,0.36,0.38,0.13,154.2,0.71,0.7,0.35,inconsistent
inconsistent,static,29,True,41.33,413,0.0,12,1,5,155.97,0.43,0.35,0.2,189.91,0.72,0.71,0.33,inconsistent
inconsistent,static,30,False,60.0,600,23.5,9,0,5,166.56,0.21,0.41,0.11,213.16,0.81,0.8,0.31,inconsistent
improving,static,1,True,19.0,190,0.0,12,1,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,improving
improving,static,2,True,58.42,584,0.0,12,1,5,132.24,0.68,0.3,0.44,124.83,0.56,0.61,0.21,improving
improving,static,3,True,56.33,563,0.0,12,1,5,134.48,0.67,0.32,0.42,129.66,0.58,0.62,0.21,improving
improving,static,4,True,41.17,411,0.0,12,1,5,136.72,0.65,0.34,0.41,134.48,0.59,0.63,0.22,improving
improving,static,5,True,59.17,591,0.0,12,1,5,138.97,0.63,0.36,0.4,139.31,0.61,0.63,0.23,improving
improving,static,6,True,57.58,575,0.0,12,1,5,141.21,0.61,0.38,0.38,144.14,0.62,0.64,0.23,improving
improving,static,7,True,59.58,595,0.0,12,1,5,143.45,0.6,0.4,0.37,148.97,0.63,0.65,0.24,improving
improving,static,8,True,42.25,422,0.0,12,1,5,145.69,0.58,0.42,0.36,153.79,0.65,0.66,0.25,improving
improving,static,9,True,38.83,388,0.0,12,1,5,147.93,0.56,0.44,0.34,158.62,0.66,0.67,0.26,improving
improving,static,10,False,60.0,600,6.5,11,0,5,150.17,0.54,0.46,0.33,163.45,0.67,0.68,0.26,improving
improving,static,11,True,47.5,475,0.0,12,1,5,152.41,0.53,0.48,0.32,168.28,0.69,0.69,0.27,improving
improving,static,12,True,25.92,259,0.0,12,1,5,154.66,0.51,0.5,0.3,173.1,0.7,0.69,0.28,improving
improving,static,13,True,41.67,416,0.0,12,1,5,156.9,0.49,0.52,0.29,177.93,0.72,0.7,0.28,improving
improving,static,14,True,43.5,435,0.0,12,1,5,159.14,0.48,0.54,0.28,182.76,0.73,0.71,0.29,improving
improving,static,15,True,59.25,592,0.0,12,1,5,161.38,0.46,0.56,0.26,187.59,0.74,0.72,0.3,improving
improving,static,16,False,60.0,600,6.5,11,0,5,163.62,0.44,0.57,0.25,192.41,0.76,0.73,0.3,improving
improving,static,17,True,30.0,299,0.0,12,1,5,165.86,0.42,0.59,0.23,197.24,0.77,0.74,0.31,improving
improving,static,18,False,60.0,600,74.5,3,0,5,168.1,0.41,0.61,0.22,202.07,0.78,0.75,0.32,improving
improving,static,19,False,60.0,600,15.0,10,0,5,170.34,0.39,0.63,0.21,206.9,0.8,0.76,0.32,improving
improving,static,20,True,52.67,526,0.0,12,1,5,172.59,0.37,0.65,0.19,211.72,0.81,0.76,0.33,improving
improving,static,21,False,60.0,600,15.0,10,0,5,174.83,0.36,0.67,0.18,216.55,0.83,0.77,0.34,improving
improving,static,22,False,60.0,600,32.0,8,0,5,177.07,0.34,0.69,0.17,221.38,0.84,0.78,0.34,improving
improving,static,23,False,60.0,600,15.0,10,0,5,179.31,0.32,0.71,0.15,226.21,0.85,0.79,0.35,improving
improving,static,24,True,53.75,537,0.0,12,1,5,181.55,0.3,0.73,0.14,231.03,0.87,0.8,0.36,improving
improving,static,25,False,60.0,600,40.5,7,0,5,183.79,0.29,0.75,0.13,235.86,0.88,0.81,0.37,improving
improving,static,26,False,60.0,600,40.5,7,0,5,186.03,0.27,0.77,0.11,240.69,0.89,0.82,0.37,improving
improving,static,27,False,60.0,600,23.5,9,0,5,188.28,0.25,0.79,0.1,245.52,0.91,0.82,0.38,improving
improving,static,28,False,60.0,600,32.0,8,0,5,190.52,0.23,0.81,0.09,250.34,0.92,0.83,0.39,improving
improving,static,29,False,60.0,600,49.0,6,0,5,192.76,0.22,0.83,0.07,255.17,0.94,0.84,0.39,improving
improving,static,30,False,60.0,600,6.5,11,0,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,improving
